,prompt,completion
884,Within the cities there are markets that focus on what sort of cuisines?,0
104266,too much alpha blockade? i take doxazosin for bph and carvedilol for early chf. should i change to metoprolol to avoid too much alpha blockade?,1
62,What might premenstrual syndrome (PMS) cause?,1
869,Zinc oxide is believed to be mentioned in what ancient text?,0
92517,how is treatment of long qt syndrome different from treatment of arrhythmias?,1
709,Exposure to what compounds can also trigger asthma?,1
22841,What snacks can boost my energy?,1
191,How is the keyboard?,0
587,How is car parking?,0
830,Who did the narrator confuse with Phyton?,0
130221,with heart disease and diabetes is it safe to get a tattoo?,1
19078,Will I need surgery if I have surfer's eye?,1
70,What can I do for a swollen foot?,1
280,Computer programs that can learn are studied in what field?,0
336,Does inheritance work differently in plants?,0
8792,What can someone with cancer do to manage severe pain?,1
653,Why was the Somers Isles Company's charter revoked?,0
5293,Where can you find brain-eating amoebas?,1
95670,hello. i'm a 36 year old male with history of anxiety and pvcs. can't sleep. as soon as i doze off i get sharp pain below sternum. what is this?,1
3437,What questions will my doctor ask me about my paroxysmal atrial fibrillation?,1
606,In what borough did the Battle of Long Island occur?,0
22051,What are standard tests for HIV?,1
742,Half of Charleston's annual rainfall occurs in what form?,0
14133,i experience chronic overeating. i live a very health lifestyle but i always feel hungry. i have got all the standard blood tests done. what should i do?,1
1055,What creations brought in the modern industrial economy?,0
74621,mammogram found a breast lump. what should i do now?,1
21654,How important is vitamin D?,1
40975,What other diets can help with rheumatoid arthritis?,1
60488,btw i am obese. my bmi is 33. however i feel fatter even though my weight stayed the same. my waist has gotten bigger. is this possible?,1
106138,tight cramping sensation left breast heart area. about a minute long. no other complications. history of inflamed chest wall and anxiety palpitations?,1
1407,What oath was a requirement of the emperor's decree?,0
499,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",0
225,Before the Great Atlantic Hurricane the boardwalk extended from Atlantic City to what other city?,0
65777,is herceptin (trastuzumab) effective in treating bowel cancer?,1
20702,What are the side effects of taking antidepressants for fibromyalgia?,1
900,Why were the gates foundation educational reforms critcized,0
662,Why was the US naval blockade not feasible?,0
2818,Will you definitely get Lyme disease if you get bitten by a tick?,1
1382,What orator was very famous during the revival movement?,0
594,How is the staff?,0
381,How is movie?,0
24692,what does my total protein level tell me about my diet?,1
325,Do the poor families put a value on education?,0
19386,What does it mean when my child can't see things close up?,1
23374,What causes a boxer's fracture?,1
816,"Compared to hickory and ash, what adjective might be used for a maple baseball bat?",0
121136,what is the name of the medical specialty who deals with circulatory disorders?,1
81,How can I quit smoking?,1
423,Early seventeenth-century Baptists were thought to be influenced by who?,0
399,"During that 18th century period, literature began to be applied how?",0
41781,how do i prepare a diabetic diet for my son?,1
3283,What are common symptoms of eosinophilic asthma?,1
2649,What is uric acid and what does it mean if you have high levels of it?,1
547,How are children obtained for use as solders in Burma ? ,0
66578,i have been having stomach pain back pain nausea and some breast pain what should i do?,1
87,How is the write?,0
481,"For best fidelity to the source, what three things should match the source? ",0
227,Before the invasion of what area was human sacrifice carried out?,0
335,Does hinduism only believe in a single god?,0
573,How do cheap variable capacitors vary the separation distance between layers of a plastic and aluminum?,0
169,At what local time does Chile change their clocks for DST?,0
781,"Other than genetics, what factors may cause ADHD?",1
500,How is the view?,0
313,Do chickens die in the sport of cockfighting?,0
5021,How is surgery used to treat glioblastoma?,1
26200,what might these lab results indicate please? ferritin - 307 vitamin b12 - 257 mcv - 100. 3 mch - 33. 8 rbc count - 4. 24 rbc size - 14. 1,1
89377,i am feeling pain in my chest and some times in heart. it comes and goes away. . i am lean. is it sign of heart attack. i am really afraid to see doc.,1
253,How easy to open is this bag?,0
403,How is the waiter?,0
1375,What other use did paper capacitors serve in the telecommunications industry?,0
5260,is it cephalexin 500 milligrams every 4 hours strong enough to treat mild tooth abccess with mild facical cellulitis?,1
19913,How can removing spinal fluid help with papilledema?,1
941,"Why does Euornithes mean ""true birds?""",0
329,Does Florida benefit from taxes,0
211,"Bactrian, Sogdian, and Saka are examples of what type of Iranian language?",0
28514,What is alosetron and how is it used to treat irritable bowel syndrome with diarrhea (IBS-D)?,1
51950,with mastitis how long does a fever last when prescribed flucloxacillin?,1
866,Zhejiang cuisine is one of how many great traditions of Chinese cuisine?,0
14555,How can someone make better food choices?,1
268,How is the aftertaste?,0
45958,What should you do if you get a UTI during pregnancy?,1
128998,what can you not eat when you are on coumadin (warfarin) when you have diabetes?,1
93537,had xray and lab work done today at er cause of a possible heart attack. all was normally except my bp. it was 100/49? normally ranges 90s/60s.,1
878,With whom was he said to have conspired?,0
46,How is the writing style?,0
131,Does the screen a problem?,0
27,What could be upsetting about the people?,0
77533,does anybody know about breast microcalcifications that are not cancerous?,1
4382,What are the symptoms of cervical radiculopathy?,1
40418,Should I follow the Mediterranean diet if I have rheumatoid arthritis?,1
101,What is the quality of the construction of the bag?,0
18392,Which calcium channel blockers do not cause erectile dysfunction?,1
406,Where can I get delicious dish ?,0
35516,How are cavities treated?,1
13292,What should you know about your medicine for diabetes?,1
359,"Due to this, the overall traffic planning tend to assure landing queues are avoided.",0
1247,How many students regularly attend schools in NYC?,0
91,What usually causes snoring when a person is sleeping?,1
106,How is the camera?,0
780,How did the Burmese government respond to the unrest in 2012 ?,0
386,During his vacation in 1824 and 1825 who did Chopin spend his vacation with?,0
95461,i am 36 have been extremely stressed about issues in the family and for the last 2 days i have been able to see my heart beat in my chest.,1
456,Faith in and veneration of Mahayana are stated in what sutras?,0
288,Did all Arians believe the same things?,0
98491,how accurate is the pregnancy state incidental icd v22. 2 code?,1
970,Why are herds of deer starting to enter residential areas in London?,0
1440,What must an adjective's case agree with in Czech?,0
902,Why were the lands in the region the Sumerian people settled fertile?,0
249,Buddism has what kind of parallels withother systems of thought?,0
38969,How are coal-tar ointments and shampoos used to treat psoriasis?,1
36775,What is an arthroscopic repair for fixing a rotator cuff problem?,1
10053,What is a lipoprotein profile in relation to cholesterol level?,1
13909,How likely are you to die from heart disease?,1
998,What types of containers is beer generally sold in?,0
